"key","display_name","source","modality","current_regions","posteriorChain_weight","proposed_hamstrings_share","resulting_hamstrings","resulting_glutes","confidence","rationale","your_hamstrings_share"
"back squat","back squat","EXACT","resistance","quads:0.6 posteriorChain:0.28 core:0.12","0.28","0.35","0.098","0.182","med","Posterior share of a squat is hip extension — glute-led, some hamstring co-contraction. FLAG (sets the whole squat family).",""
"front squat","front squat","EXACT","resistance","quads:0.7 core:0.2 posteriorChain:0.1","0.1","0.35","0.035","0.065","med","As back squat.",""
"leg press","leg press","EXACT","resistance","quads:0.65 posteriorChain:0.35","0.35","0.35","0.122","0.227","med","Seated hip/knee extension — glute-lean.",""
"pistol","pistol","EXACT","resistance","quads:0.6 posteriorChain:0.3 core:0.1","0.3","0.35","0.105","0.195","low","Single-leg squat — as squat.",""
"reverse lunge","reverse lunge","EXACT","resistance","quads:0.5 posteriorChain:0.4 core:0.1","0.4","0.40","0.16","0.24","med","Split-stance hip extension — slightly more hamstring than a bilateral squat.",""
"bulgarian split squat","bulgarian split squat","EXACT","resistance","quads:0.45 posteriorChain:0.45 core:0.1","0.45","0.40","0.18","0.27","med","As reverse lunge.",""
"cossack squat","cossack squat","EXACT","resistance","quads:0.75 posteriorChain:0.15 core:0.1","0.15","0.35","0.052","0.098","low","Deep lateral squat — glute-lean posterior share.",""
"leg curl","leg curl","EXACT","resistance","posteriorChain:1","1","1.00","1","0","high","Knee-flexion isolation — pure hamstrings, no glute.",""
"nordic leg curl","nordic leg curl","EXACT","resistance","posteriorChain:1","1","1.00","1","0","high","Eccentric knee flexion — pure hamstrings.",""
"nordic","nordic","EXACT","resistance","posteriorChain:1","1","1.00","1","0","high","Same as nordic leg curl.",""
"nordic curl","nordic curl","EXACT","resistance","posteriorChain:1","1","1.00","1","0","high","Same as nordic leg curl.",""
"hip thrust machine","hip thrust machine","EXACT","resistance","posteriorChain:1","1","0.20","0.2","0.8","high","Hip-extension isolation at end range — strongly glute.",""
"banded hip thrust","banded hip thrust","EXACT","resistance","posteriorChain:1","1","0.20","0.2","0.8","high","Same as hip thrust.",""
