"key","display_name","source","modality","regions","policy_group","proposed_bwLoad","confidence","rationale","your_notes"
"leg extension","leg extension","EXACT","resistance","quads 1","machine","0","high","Supported or seated; the plate/stack is the only load.",""
"leg press","leg press","EXACT","resistance","quads 0.65; posteriorChain 0.35","machine","0","high","Supported or seated; the plate/stack is the only load.",""
"leg curl","leg curl","EXACT","resistance","posteriorChain 1","machine","0","high","Supported or seated; the plate/stack is the only load.",""
"hip thrust machine","hip thrust machine","EXACT","resistance","posteriorChain 1","machine","0","high","Supported or seated; the plate/stack is the only load.",""
"banded hip thrust","banded hip thrust","EXACT","resistance","posteriorChain 1","machine","0","high","Supported or seated; the plate/stack is the only load.",""
"split stance romanian deadlift","split stance romanian deadlift","EXACT","resistance","posteriorChain 0.75; core 0.15; quads 0.1","hinge","0","med","Bar rises, body centre of mass barely does.",""
"trap bar deadlift","trap bar deadlift","EXACT","resistance","posteriorChain 0.5; quads 0.35; back 0.15","hinge","0.8","med","Bar rises, body centre of mass barely does.",""
"kettlebell swing","kettlebell swing","EXACT","plyometric","posteriorChain 0.7; core 0.2; shoulders 0.1","hinge","0.4","med","Bar rises, body centre of mass barely does.",""
"kettlebell snatch","kettlebell snatch","EXACT","plyometric","posteriorChain 0.4; shoulders 0.3; core 0.2; back 0.1","implement","0.4","med","You move an external implement; your body is not lifted.",""
"incline dumbbell bench","incline dumbbell bench","EXACT","resistance","chest 0.6; shoulders 0.25; arms 0.15","machine","0","high","Supported or seated; the plate/stack is the only load.",""
"machine press","machine press","EXACT","resistance","chest 0.6; shoulders 0.25; arms 0.15","machine","0","high","Supported or seated; the plate/stack is the only load.",""
"cable fly","cable fly","EXACT","resistance","chest 0.85; shoulders 0.15","machine","0","high","Supported or seated; the plate/stack is the only load.",""
"bench press","bench press","EXACT","resistance","chest 0.6; shoulders 0.25; arms 0.15","machine","0","high","Supported or seated; the plate/stack is the only load.",""
"landmine press","landmine press","EXACT","resistance","shoulders 0.6; chest 0.25; arms 0.15","machine","0","high","Supported or seated; the plate/stack is the only load.",""
"standing barbell military press","standing barbell military press","EXACT","resistance","shoulders 0.6; arms 0.25; core 0.15","machine","0","high","Supported or seated; the plate/stack is the only load.",""
"overhead press","overhead press","EXACT","resistance","shoulders 0.6; arms 0.25; core 0.15","machine","0","high","Supported or seated; the plate/stack is the only load.",""
"shoulder raise","shoulder raise","EXACT","resistance","shoulders 1","machine","0","high","Supported or seated; the plate/stack is the only load.",""
"overhead tricep","overhead tricep","EXACT","resistance","arms 1","machine","0","high","Supported or seated; the plate/stack is the only load.",""
"dumbbell row","dumbbell row","EXACT","resistance","back 0.7; arms 0.3","machine","0","high","Supported or seated; the plate/stack is the only load.",""
"iso lateral row","iso lateral row","EXACT","resistance","back 0.7; arms 0.3","machine","0","high","Supported or seated; the plate/stack is the only load.",""
"gorilla row","gorilla row","EXACT","resistance","back 0.7; arms 0.3","machine","0","high","Supported or seated; the plate/stack is the only load.",""
"face pull","face pull","EXACT","resistance","back 0.6; shoulders 0.4","machine","0","high","Supported or seated; the plate/stack is the only load.",""
"band pull apart","band pull apart","EXACT","resistance","back 0.6; shoulders 0.4","machine","0","high","Supported or seated; the plate/stack is the only load.",""
"landmine twist","landmine twist","EXACT","resistance","core 0.7; shoulders 0.2; back 0.1","machine","0","high","Supported or seated; the plate/stack is the only load.",""
"machine crunch","machine crunch","EXACT","resistance","core 1","machine","0","high","Supported or seated; the plate/stack is the only load.",""
"farmer carry","farmer carry","EXACT","endurance","core 0.35; arms 0.25; shoulders 0.2; posteriorChain 0.2","implement","0.8","med","You move an external implement; your body is not lifted.",""
"sled push","sled push","EXACT","resistance","quads 0.5; posteriorChain 0.25; calves 0.15; chest 0.1","implement","0.8","med","You move an external implement; your body is not lifted.",""
"sled drag","sled drag","EXACT","resistance","quads 0.45; posteriorChain 0.3; calves 0.15; core 0.1","implement","0.8","med","You move an external implement; your body is not lifted.",""
"med ball throw","med ball throw","EXACT","plyometric","core 0.4; chest 0.25; shoulders 0.25; back 0.1","implement","0","med","You move an external implement; your body is not lifted.",""
"ski erg interval","ski erg interval","EXACT","endurance","back 0.5; arms 0.3; core 0.2","end_seated","0","low","Seated/supported erg or bike.",""
"rower interval","rower interval","EXACT","endurance","back 0.4; quads 0.3; posteriorChain 0.2; arms 0.1","end_seated","0","low","Seated/supported erg or bike.",""
"row erg interval","row erg interval","EXACT","endurance","back 0.4; quads 0.3; posteriorChain 0.2; arms 0.1","end_seated","0","low","Seated/supported erg or bike.",""
"cycle","cycle","EXACT","endurance","quads 0.5; posteriorChain 0.3; calves 0.2","end_seated","0","low","Seated/supported erg or bike.",""
"rule:erg-endurance","ski erg | row erg | rower | erg | treadmill | stairmaster | elliptical","RULE","endurance","back 0.4; quads 0.3; posteriorChain 0.2; arms 0.1","end_seated","0","low","Seated/supported erg or bike.",""
"rule:hinge-pattern","deadlift | romanian deadlift | good morning | hip thrust | glute bridge | swing","RULE","resistance","posteriorChain 0.75; core 0.15; back 0.1","hinge","0.8","med","ALIGNED to trap bar deadlift (0.80) so ""Deadlift"" and ""Trap Bar Deadlift"" price the same.",""
"rule:hamstring-isolation","leg curl | nordic | ham curl","RULE","resistance","posteriorChain 1","machine","0","high","Supported or seated; the plate/stack is the only load.",""
"rule:quad-isolation","leg extension | knee extension","RULE","resistance","quads 1","machine","0","high","Supported or seated; the plate/stack is the only load.",""
"rule:horizontal-push","bench | chest press | push up | machine press | fly","RULE","resistance","chest 0.6; shoulders 0.25; arms 0.15","machine","0","high","Supported or seated; the plate/stack is the only load.",""
"rule:vertical-push","overhead press | military press | shoulder press | push press | landmine press","RULE","resistance","shoulders 0.6; arms 0.25; core 0.15","machine","0","high","Supported or seated; the plate/stack is the only load.",""
"rule:delt-isolation","lateral raise | shoulder raise | front raise | rear delt","RULE","resistance","shoulders 1","machine","0","high","Supported or seated; the plate/stack is the only load.",""
"rule:vertical-pull","pull up | chin up | lat pulldown | pulldown","RULE","resistance","back 0.7; arms 0.3","machine","0","high","Supported or seated; the plate/stack is the only load.",""
